"2020 County Index Crime Counts and Rates Per 100,000 Population",,,,,,,,,,,,,
PRELIMINARY DATA,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Index Crime,,Violent Crime,,Property Crime,,Violent Crime With Firearm,,,,,
Sullivan,"74,732",852,"1,140.1",147,196.7,705,943.4,16,21.4,,,,
Tioga,"47,597",432,907.6,59,124.0,373,783.7,8,16.8,,,,
Tompkins,"101,580","2,127","2,093.9",169,166.4,"1,958","1,927.5",29,28.5,,,,
Ulster,"175,918","1,895","1,077.2",226,128.5,"1,669",948.7,36,20.5,,,,
Warren,"63,351",742,"1,171.3",77,121.5,665,"1,049.7",2,3.2,,,,
Washington,"60,583",366,604.1,87,143.6,279,460.5,2,3.3,,,,
Wayne,"88,933","1,342","1,509.0",171,192.3,"1,171","1,316.7",16,18.0,,,,
Westchester,"963,247","10,307","1,070.0","1,584",164.4,"8,723",905.6,229,23.8,,,,
Wyoming,"39,363",304,772.3,45,114.3,259,658.0,2,5.1,,,,
Yates,"24,704",221,894.6,16,64.8,205,829.8,3,12.1,,,,
,,,,,,,,,,,,,
New York City,"8,300,377","177,319","2,136.3","47,959",577.8,"129,360","1,558.5","6,442",77.6,,,,
Non-New York City,"11,032,136","166,542","1,509.6","22,749",206.2,"143,793","1,303.4","4,687",42.5,,,,
New York State,"19,332,513","343,861","1,778.7","70,708",365.7,"273,153","1,412.9","11,129",57.6,,,,
,,,,,,,,,,,,,
"Source: DCJS, Uniform Crime/Incident-Based Reporting system.",,,,,,,,,,,,,
Includes all reports received as of 5/16/2022.,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
