Route,Note,2014,2015,2016,2017,2018,2019,,2018 - 2019 Change,,2019 Rank
Q67,,"2,810","2,848","2,768","2,498","2,442","2,572",,129,5.30%,43
Q69,,"10,101","9,827","9,849","9,613","9,790","9,735",,-55,-0.60%,12
Q70SBS,2,"3,419","4,048","4,183","4,670","5,090","5,829",,740,14.50%,24
Q72,,"6,029","6,005","6,204","6,406","6,376","6,461",,85,1.30%,22
Q100,,"4,198","4,156","4,129","4,119","4,133","4,064",,-69,-1.70%,36
Q101,,"3,444","3,430","3,632","3,538","3,771","3,873",,103,2.70%,38
Q102,,"2,598","2,663","2,663","2,756","3,212","2,749",,-462,-14.40%,42
Q103,,998,"1,240","1,385","1,612","1,740","1,746",,7,0.40%,46
Q104,,"2,308","2,264","2,296","2,237","2,284","2,231",,-53,-2.30%,45
Q110,,"6,675","6,463","6,281","6,063","5,915","5,505",,-409,-6.90%,26
Q111,,"13,133","13,224","12,390","11,498","11,124","10,680",,-444,-4.00%,10
Q112,,"5,113","4,915","5,217","5,304","5,472","5,189",,-283,-5.20%,28
Q113,,"9,019","4,537","4,569","4,173","3,828","3,686",,-142,-3.70%,40
Q114,3,"2,063","6,227","6,396","6,126","5,892","5,523",,-369,-6.30%,25
Local Total,,"370,845","371,221","374,066","364,465","362,528","359,306",,"-3,222",-0.90%,
Express Routes,,,,,,,,,,,
BM1,,"1,261","1,165","1,140","1,041","1,019",997,,-22,-2.20%,10
BM2,,856,802,786,733,734,722,,-12,-1.70%,14
BM3,,808,733,703,680,681,667,,-14,-2.10%,16
BM4,,628,584,569,540,550,509,,-40,-7.40%,23
BM5,,583,542,575,570,636,637,,1,0.20%,18
BxM1,,"1,422","1,321","1,302","1,284","1,278","1,214",,-63,-5.00%,8
BxM2,,756,684,673,662,689,682,,-6,-0.90%,15
BxM3,,688,643,635,641,674,646,,-29,-4.20%,17
BxM4,,356,344,346,357,385,363,,-22,-5.70%,29
BxM6,,623,601,594,547,595,539,,-56,-9.50%,22
BxM7,,"2,783","2,631","2,559","2,395","2,424","2,272",,-151,-6.20%,1
BxM8,,"1,666","1,590","1,549","1,464","1,501","1,365",,-135,-9.00%,7
BxM9,,"2,130","2,118","2,076","1,970","1,990","1,842",,-147,-7.40%,2
BxM10,,"1,496","1,470","1,445","1,396","1,455","1,377",,-79,-5.40%,6
BxM11,,"1,042",995,997,980,"1,112","1,030",,-82,-7.40%,9
BxM18,,293,263,254,244,239,240,,1,0.40%,32
QM1 / QM31,6,626,546,453,419,488,440,,-49,-9.90%,25
QM2 / QM32,6,"1,922","1,777","1,679","1,649","1,690","1,534",,-156,-9.20%,4
QM3,,133,124,129,117,117,104,,-13,-11.10%,35
QM4 / QM44,5,813,752,710,678,690,604,,-86,-12.40%,19
QM5 / QM35,6,"2,071","1,929","1,860","1,804","1,890","1,703",,-187,-9.90%,3
QM6 / QM36,6,"1,115","1,019",974,981,"1,006",926,,-80,-8.00%,12
QM7,,740,702,658,668,639,600,,-40,-6.20%,20
QM8,,632,587,586,566,576,541,,-35,-6.00%,21
QM10 / QM40,6,330,312,285,289,304,278,,-26,-8.60%,31
QM11,,396,385,389,415,433,374,,-58,-13.50%,28
QM12 / QM42,6,453,407,376,381,425,386,,-39,-9.10%,27
QM15,,"1,329","1,312","1,351","1,337","1,480","1,417",,-63,-4.20%,5
QM16,,354,384,414,401,480,493,,13,2.70%,24
QM17,,360,354,351,365,448,430,,-18,-4.10%,26
QM18,,201,182,191,201,224,207,,-17,-7.70%,34
QM20,,"1,120","1,076","1,004",963,"1,025",942,,-83,-8.10%,11
QM21,,284,248,233,209,242,221,,-21,-8.80%,33
QM24 / QM34,5,"1,113","1,055","1,041","1,097","1,107",908,,-199,-18.00%,13
QM25,,314,306,320,379,414,339,,-75,-18.10%,30
Express Total,,"31,697","29,943","29,205","28,425","29,638","27,548",,"-2,090",-7.10%,
,,,,,,,,,,,
Adjustment,,"4,572","4,813","3,930","3,339",451,"1,221",,,,
Grand Total,,"407,115","405,978","407,201","396,229","392,617","388,075",,"-4,542",-1.20%,
,,,,,,,,,,,
"MTA Bus Routes that were changed between 2014 and 2019 shown in blue; see ""Notes"" for details.",,,,,,,,,,,
