County,2017 Population,Index Crime Count,Index Crime Rate,Violent Crime Count,Violent Crime Rate,Property Crime Count,Property Crime Rate,Violent Crime with Firearm Count,Violent Crime with Firearm Rate
Nassau,"1,367,901","14,039","1,026.30","1,650",120.6,"12,389",905.7,206,15.1
New York,"1,663,498","47,146","2,834.10","8,671",521.3,"38,475","2,312.90",639,38.4
Niagara,"211,460","5,598","2,647.30",785,371.2,"4,813","2,276.10",167,79
Oneida,"231,112","4,782","2,069.10",696,301.2,"4,086","1,768.00",94,40.7
Onondaga,"467,033","10,893","2,332.40","1,429",306,"9,464","2,026.40",228,48.8
Ontario,"110,349","1,623","1,470.80",135,122.3,"1,488","1,348.40",7,6.3
Orange,"381,037","6,757","1,773.30",875,229.6,"5,882","1,543.70",120,31.5
Orleans,"41,194",764,"1,854.60",87,211.2,677,"1,643.40",15,36.4
Oswego,"118,741","1,980","1,667.50",218,183.6,"1,762","1,483.90",15,12.6
Otsego,"59,891",734,"1,225.60",93,155.3,641,"1,070.30",6,10
Putnam,"98,971",628,634.5,54,54.6,574,580,2,2
Queens,"2,356,841","32,860","1,394.20","9,184",389.7,"23,676","1,004.60",932,39.5
Rensselaer,"160,555","3,518","2,191.10",448,279,"3,070","1,912.10",90,56.1
Richmond,"479,104","5,969","1,245.90","1,451",302.9,"4,518",943,153,31.9
Rockland,"329,966","3,405","1,031.90",397,120.3,"3,008",911.6,27,8.2
St Lawrence,"109,995","1,512","1,374.60",134,121.8,"1,378","1,252.80",12,10.9
Saratoga,"228,753","2,795","1,221.80",279,122,"2,516","1,099.90",27,11.8
Schenectady,"154,847","4,601","2,971.30",673,434.6,"3,928","2,536.70",100,64.6
Schoharie,"31,166",314,"1,007.50",37,118.7,277,888.8,1,3.2
Schuyler,"18,106",70,386.6,15,82.8,55,303.8,1,5.5
Seneca,"34,779",571,"1,641.80",73,209.9,498,"1,431.90",1,2.9
Steuben,"96,823","1,268","1,309.60",171,176.6,"1,097","1,133.00",12,12.4
Suffolk,"1,495,619","21,462","1,435.00","1,749",116.9,"19,713","1,318.00",372,24.9
Sullivan,"74,545","1,282","1,719.80",221,296.5,"1,061","1,423.30",10,13.4
Tioga,"48,507",453,933.9,48,99,405,834.9,3,6.2
Tompkins,"105,637","1,967","1,862.00",147,139.2,"1,820","1,722.90",19,18
Ulster,"179,106","2,572","1,436.00",289,161.4,"2,283","1,274.70",30,16.7
Warren,"64,530","1,079","1,672.10",107,165.8,972,"1,506.30",4,6.2
Washington,"61,690",541,877,91,147.5,450,729.5,1,1.6
Wayne,"90,519","1,495","1,651.60",189,208.8,"1,306","1,442.80",8,8.8
Westchester,"980,819","11,580","1,180.60","1,953",199.1,"9,627",981.5,295,30.1
Wyoming,"40,666",346,850.8,71,174.6,275,676.2,5,12.3
Yates,"24,910",259,"1,039.70",26,104.4,233,935.4,2,8
,,,,,,,,,
New York City,"8,616,333","171,248","1,987.50","46,433",538.9,"124,815","1,448.60","4,747",55.1
Non-New York City,"11,228,705","191,929","1,709.30","24,276",216.2,"167,653","1,493.10","4,065",36.2
New York State,"19,845,038","363,177","1,830.10","70,709",356.3,"292,468","1,473.80","8,812",44.4
,,,,,,,,,
"Source: DCJS, Uniform Crime/Incident-Based Reporting system.",,,,,,,,,
Includes all reports received as of 5/16/2022.,,,,,,,,,
